title,author,length
Torrent Witches Cozy Mysteries Complete Box Set: Books 1-10,Tess Lake,Length: 65 hrs and 31 mins
The Adversary,"Torsten Weitze,Tim Casey - translator",Length: 22 hrs and 44 mins
How Highly Effective People Speak,Julia Arias,Length: 3 hrs and 7 mins
The Assassin's Blade,Sarah J. Maas,Length: 12 hrs and 52 mins
Take Control of Your Life,Mel Robbins,Length: 10 hrs and 3 mins
The Inmate,Freida McFadden,Length: 8 hrs and 5 mins
Casting Forward,Steve Ramirez,Length: 8 hrs and 2 mins
The Conversation Code,Matt Brooks,Length: 4 hrs and 43 mins
He Who Fights with Monsters 7,"Shirtaloon,Travis Deverell",Length: 18 hrs and 39 mins
The Moonstone Brooch,Katherine Lowry Logan,Length: 26 hrs and 47 mins
The Return of the King,J. R. R. Tolkien,Length: 21 hrs and 52 mins
Don't Believe Everything You Think,Joseph Nguyen,Length: 2 hrs and 16 mins
Fourth Wing (Part 2 of 2) (Dramatized Adaptation),Rebecca Yarros,Length: 9 hrs and 22 mins
Savage Son,Jack Carr,Length: 12 hrs and 56 mins
"Tomorrow, and Tomorrow, and Tomorrow",Gabrielle Zevin,Length: 13 hrs and 52 mins
Spare,Prince Harry The Duke of Sussex,Length: 15 hrs and 39 mins
It Didn't Start with You,Mark Wolynn,Length: 8 hrs and 16 mins
Row the Boat,"Jon Gordon,P. J. Fleck",Length: 2 hrs and 18 mins
Thorn Kissed and Silver Chains (Dramatized Adaptation),"Shannon Mayer,Kelly St. Clare",Length: 5 hrs and 48 mins
A Court of Frost and Starlight (Dramatized Adaptation),Sarah J. Maas,Length: 5 hrs and 33 mins
A Court of Mist and Fury (Part 1 of 2) (Dramatized Adaptation),Sarah J. Maas,Length: 8 hrs and 26 mins
Never Finished,David Goggins,Length: 11 hrs and 6 mins
Funny Story,Emily Henry,Length: 11 hrs and 23 mins
The Love in Duet Collection,Lauren Blakely,Length: 32 hrs and 45 mins
Star Wars: Temptation of the Force (The High Republic),Tessa Gratton,Length: 17 hrs and 3 mins
The 5AM Club,Robin Sharma,Length: 11 hrs and 4 mins
Zodiac Academy 2,"Caroline Peckham,Susanne Valenti",Length: 15 hrs and 50 mins
Shadow of Doubt,Brad Thor,Length: 11 hrs and 40 mins
Humanizing Data Strategy,Tiankai Feng,Length: 2 hrs and 23 mins
Fourth Wing,Rebecca Yarros,Length: 21 hrs and 22 mins
The Dressmaker on Amelia Island,Hope Holloway,Length: 9 hrs and 8 mins
Zodiac Academy: The Awakening,"Caroline Peckham,Susanne Valenti",Length: 12 hrs and 10 mins
Ember,"Brian Andrews,Jeffrey Wilson",Length: 13 hrs and 57 mins
Marrying Mr. Majestic,Lucy Lennox,Length: 8 hrs and 46 mins
The Butcher's Masquerade,Matt Dinniman,Length: 23 hrs and 33 mins
The Longest Con,Joe Conason,Length: 10 hrs and 55 mins
The Darkness at Deception Pass,D.D. Black,Length: 5 hrs and 46 mins
He Who Fights with Monsters 9,"Shirtaloon,Travis Deverell",Length: 28 hrs and 3 mins
From Blood and Ash,Jennifer L. Armentrout,Length: 19 hrs and 46 mins
Twisted Lies,Ana Huang,Length: 16 hrs and 23 mins
Unintended Cultivator: Volume 3,Eric Dontigney,Length: 13 hrs and 47 mins
Lord of Chaos,Robert Jordan,Length: 41 hrs and 32 mins
Carl's Doomsday Scenario,Matt Dinniman,Length: 11 hrs and 28 mins
The Devil's Hand,Jack Carr,Length: 14 hrs and 37 mins
Fae and Fare,pirateaba,Length: 61 hrs and 4 mins
Freed,E. L. James,Length: 27 hrs and 15 mins
Do Hard Things,Steve Magness,Length: 8 hrs and 53 mins
Get In!,Mark Goldbridge,Length: 7 hrs and 28 mins
The X-Files: Perihelion,Claudia Gray,Length: 9 hrs and 31 mins
Thorns of Death,Eva Winners,Length: 13 hrs and 4 mins
Too Late,Colleen Hoover,Length: 10 hrs and 19 mins
Project Hail Mary,Andy Weir,Length: 16 hrs and 10 mins
I'm Glad My Mom Died,Jennette McCurdy,Length: 6 hrs and 26 mins
A Court of Thorns and Roses,Sarah J. Maas,Length: 16 hrs and 7 mins
Leather & Lark,Brynne Weaver,Length: 12 hrs and 15 mins
House of Flame and Shadow,Sarah J. Maas,Length: 29 hrs and 42 mins
Red Tithe,Robbie MacNiven,Length: 9 hrs and 48 mins
Never Have I Ever,Joshilyn Jackson,Length: 13 hrs and 22 mins
"Thinking, Fast and Slow",Daniel Kahneman,Length: 20 hrs and 2 mins
The Eye of the Bedlam Bride,Matt Dinniman,Length: 26 hrs and 46 mins
The Secret Keeper,Maggie Miller,Length: 8 hrs and 57 mins
The Last Ship,Nicholas Sansbury Smith,Length: 12 hrs and 41 mins
SIE Exam Prep,Jonathan L. Reese,Length: 5 hrs and 55 mins
The House of Eve,Sadeqa Johnson,Length: 10 hrs and 37 mins
Curvy Girl Summer,Danielle Allen,Length: 12 hrs and 23 mins
Junkyard Roadhouse,Faith Hunter,Length: 4 hrs and 36 mins
The Nomadic Devil: The True Story of Israel Keyes America's Most Methodical Serial Killer Who Planted Murder Caches Nationwide,"Genoveva Ortiz,True Crime Seven",Length: 2 hrs and 42 mins
Primal Mirror,Nalini Singh,Length: 12 hrs and 42 mins
"Love, Utley",S.J. Tilly,Length: 8 hrs and 40 mins
A Promised Land,Barack Obama,Length: 29 hrs and 10 mins
Uprising,Joshua James,Length: 9 hrs and 49 mins
Morning Star,Pierce Brown,Length: 21 hrs and 50 mins
The Ballad of Songbirds and Snakes,Suzanne Collins,Length: 16 hrs and 16 mins
Reckless,Lauren Roberts,Length: 11 hrs and 24 mins
"Days of Want Series, Books 1-7",T. L. Payne,Length: 43 hrs and 42 mins
Starship for Rent 4,M.R. Forbes,Length: 8 hrs and 33 mins
The Heaven & Earth Grocery Store,James McBride,Length: 12 hrs and 21 mins
The Thief,G. S. Jennsen,Length: 9 hrs and 20 mins
Harry Potter and the Prisoner of Azkaban (Narrated by Stephen Fry),J.K. Rowling,Length: 12 hrs and 3 mins
Extreme Ownership,"Jocko Willink,Leif Babin",Length: 9 hrs and 33 mins
Simple Marketing for Smart People,"Billy Broas,Tiago Forte,Ali Abdaal",Length: 3 hrs and 51 mins
Bad River,Marc Cameron,Length: 12 hrs and 54 mins
We Are Legion (We Are Bob),Dennis E. Taylor,Length: 9 hrs and 56 mins
Indaria,SunriseCV,Length: 13 hrs and 57 mins
Wayward Earth,"Jason Anspach,J.N. Chaney",Length: 12 hrs and 40 mins
Alpha,Aleron Kong,Length: 14 hrs and 1 min
Unholy Trinity,Daniel Trevor,Length: 13 hrs and 19 mins
Never Enough,Andrew Wilkinson,Length: 8 hrs and 45 mins
Polostan,Neal Stephenson,Length: 11 hrs and 45 mins
The Fellowship of the Ring,J. R. R. Tolkien,Length: 22 hrs and 38 mins
Heavy Is the Crown,"J.N. Chaney,Terry Maggert",Length: 10 hrs and 5 mins
The Sunlit Man,Brandon Sanderson,Length: 11 hrs and 11 mins
Iron Gold,Pierce Brown,Length: 23 hrs and 23 mins
Federation Chronicles,Ken Lozito,Length: 34 hrs and 15 mins
The 7 Habits of Highly Effective People,Stephen R. Covey,Length: 13 hrs and 4 mins
God Emperor of Dune,Frank Herbert,Length: 15 hrs and 48 mins
Before Summer Ends,Susan Mallery,Length: 5 hrs and 49 mins
Clete,James Lee Burke,Length: 9 hrs and 20 mins
Skyward,Brandon Sanderson,Length: 15 hrs and 28 mins
Verity,Colleen Hoover,Length: 8 hrs and 10 mins
C. S. Lewis Essential Audio Library,C. S. Lewis,Length: 38 hrs and 50 mins
Eldest,Christopher Paolini,Length: 23 hrs and 30 mins
Firefly: Aim to Misbehave,Rosiee Thor,Length: 11 hrs
It Ends with Us,Colleen Hoover,Length: 11 hrs and 11 mins
Raw: The Complete Series,Misty Vixen,Length: 62 hrs and 20 mins
Table for Two,Amor Towles,Length: 13 hrs and 23 mins
Country Mage: The Complete Series,Jack Bryce,Length: 64 hrs and 3 mins
Things We Never Got Over,Lucy Score,Length: 16 hrs and 1 min
Shadow of Doubt,Susan Sleeman,Length: 9 hrs and 11 mins
King of Death,Lily Mayne,Length: 17 hrs and 6 mins
Before They Are Hanged,Joe Abercrombie,Length: 22 hrs and 39 mins
The Courage to Be Disliked,"Ichiro Kishimi,Fumitake Koga",Length: 6 hrs and 29 mins
Jurassic Park,Michael Crichton,Length: 15 hrs and 10 mins
The Truths We Hold,Kamala Harris,Length: 9 hrs and 26 mins
Breaking the Habit of Being Yourself,Joe Dispenza,Length: 10 hrs and 49 mins
Save the Queen,Terry Toler,Length: 7 hrs and 42 mins
"Si lo crees, lo creas [If You Believe, You Believe]","Brian Tracy,Christina Stein",Length: 6 hrs and 6 mins
LastRock,Phil Tucker,Length: 26 hrs and 2 mins
The Dragon's Blade Trilogy,Michael R. Miller,Length: 45 hrs and 58 mins
Hell Divers III: Deliverance,Nicholas Sansbury Smith,Length: 11 hrs and 18 mins
House of Sky and Breath (Part 1 of 2) (Dramatized Adaptation),Sarah J. Maas,Length: 12 hrs and 15 mins
The CEO Enemy,Jolie Day,Length: 8 hrs and 41 mins
Horror Movie,Paul Tremblay,Length: 7 hrs and 23 mins
A Witch Worth Praline For,H.Y. Hanna,Length: 8 hrs and 17 mins
The Will of the Many,James Islington,Length: 28 hrs and 14 mins
Unholy Trinity,Daniel Trevor,Length: 13 hrs and 19 mins
