title,author,length
Targeted: Beirut,"Jack Carr,James M. Scott",Length: 13 hrs
Clean Finish,Lily Mayne,Length: 13 hrs and 35 mins
Assassin,Alexander Olson,Length: 16 hrs and 23 mins
Worthy of Fate,A.N. Caudle,Length: 18 hrs and 16 mins
Meant for Love,Natasha Madison,Length: 8 hrs and 19 mins
The Wedding People,Alison Espach,Length: 11 hrs and 37 mins
Frames of Mind,Howard E. Gardner,Length: 19 hrs and 30 mins
Paragon Exordium,Mikel Melwasul,Length: 24 hrs and 9 mins
AI in Business,Sebastian Forbes,Length: 3 hrs and 30 mins
The Songbird and the Heart of Stone,Carissa Broadbent,Length: 15 hrs and 33 mins
So This Is War,Meghan Quinn,Length: 13 hrs and 45 mins
Nexus,Yuval Noah Harari,Length: 14 hrs
Tom Clancy Shadow State,M.P. Woodward,Length: 10 hrs and 57 mins
It Begins with You,Jillian Turecki,Length: 12 hrs
Impact Winter Season 3,Travis Beacham,Length: 7 hrs and 33 mins
Feral Outbreak: Oblivion,Sean Liscom,Length: 10 hrs and 7 mins
Penetration,Ingo Swann,Length: 6 hrs and 22 mins
To Die For,David Baldacci,Length: 12 hrs
The Briar Club,Kate Quinn,Length: 15 hrs and 3 mins
Now or Never,Janet Evanovich,Length: 8 hrs
Dino Tribes 2,Marcus Sloss,Length: 10 hrs and 2 mins
Angel of Vengeance,"Douglas Preston,Lincoln Child",Length: 10 hrs and 55 mins
Love After Midnight,Sister Souljah,Length: 13 hrs
Law of Success,Paramahansa Yogananda,Length: 36 mins
The Laws of Human Nature,Robert Greene,Length: 28 hrs and 26 mins
The Waiting,Michael Connelly,Length: 12 hrs
All the Skills 4: A Deck-Building LitRPG,Honour Rae,Length: 14 hrs and 26 mins
"Overlord, Vol. 14","Kugane Maruyama,so-bin - illustrator,Andrew Cunningham - translator",Length: 10 hrs
Crown of Midnight,Sarah J. Maas,Length: 12 hrs and 43 mins
Capture or Kill,"Vince Flynn,Don Bentley",Length: 12 hrs
The Pucking Wrong Man,C.R. Jane,Length: 10 hrs
If You Want Me,Helena Hunting,Length: 13 hrs and 24 mins
Mind over Markets (Updated Edition),"James F. Dalton,Eric T. Jones,Robert B. Dalton",Length: 8 hrs and 41 mins
Aftermath 1,Bobby Akart,Length: 7 hrs and 28 mins
The Tibetan Book of Living and Dying,Sogyal Rinpoche,Length: 20 hrs and 43 mins
In Too Deep,"Lee Child,Andrew Child",Length: 10 hrs
Dark Hope,Christine Feehan,Length: 13 hrs and 30 mins
The Shadow of Dread,T.C. Edge,Length: 40 hrs and 46 mins
Meditations,Marcus Aurelius,Length: 3 hrs and 51 mins
Into the Uncertain,"James Rosone,Miranda Watson",Length: 13 hrs and 42 mins
The Grey Wolf,Louise Penny,Length: 12 hrs and 51 mins
Revenge for Now,Bob Howard,Length: 13 hrs
He Who Fights with Monsters: A LitRPG Adventure,"Shirtaloon,Travis Deverell",Length: 28 hrs and 56 mins
Under Your Scars,Ariel N. Anderson,Length: 19 hrs and 2 mins
A Storm of Swords,George R.R. Martin,Length: 47 hrs and 34 mins
Iron Flame (Part 2 of 2) (Dramatized Adaptation),Rebecca Yarros,Length: 9 hrs and 27 mins
Night Side of the River,Jeanette Winterson,Length: 9 hrs and 2 mins
A Clash of Kings,George R.R. Martin,Length: 37 hrs and 12 mins
What Have You Done?,Shari Lapena,Length: 8 hrs and 49 mins
Challenger,Seth Ring,Length: 14 hrs
Frisco,Tijan,Length: 11 hrs and 36 mins
Curated True Crime,"Jamie Malton,Aiden Galway",Length: 17 hrs and 36 mins
"2 Lies, 2 Thrones",Eric Ugland,Length: 9 hrs and 13 mins
Toll of Honor,David Weber,Length: 17 hrs and 45 mins
The Last Mrs. Parrish,Liv Constantine,Length: 12 hrs
The History of the Ancient World,Susan Wise Bauer,Length: 26 hrs and 20 mins
The God of the Woods,Liz Moore,Length: 14 hrs and 35 mins
The Well of Ascension,Brandon Sanderson,Length: 28 hrs and 56 mins
Presumed Dead,Colleen Helme,Length: 11 hrs and 55 mins
Fire & Blood (HBO Tie-in Edition),George R. R. Martin,Length: 26 hrs and 24 mins
Lightning Strike,"J.N. Chaney,Terry Mixon",Length: 8 hrs and 31 mins
The Lumberjack,Susan Stoker,Length: 10 hrs and 10 mins
The Body in the Backyard,Lucy Score,Length: 11 hrs and 56 mins
A Kingdom of Flesh and Fire,Jennifer L. Armentrout,Length: 24 hrs and 21 mins
Eruption,"Michael Crichton,James Patterson",Length: 10 hrs and 32 mins
The Dream Dancers: Akashic Chronicles,Steven P Aitchison,Length: 3 hrs and 40 mins
All the Colors of the Dark,Chris Whitaker,Length: 14 hrs and 37 mins
The Chronicles of Narnia Complete Audio Collection,C. S. Lewis,Length: 33 hrs and 45 mins
A Court of Frost and Starlight,Sarah J. Maas,Length: 6 hrs and 23 mins
He Who Fights with Monsters 11: A LitRPG Adventure,"Shirtaloon,Travis Deverell",Length: 26 hrs and 19 mins
A Lesbian's Guide to Women,Erica Lee,Length: 7 hrs and 40 mins
Under the Breaking Sky: The Complete Apocalyptic Horror Series,Nick Clausen,Length: 59 hrs and 36 mins
Defiance of the Fall 13,"TheFirstDefier,JF Brink",Length: 24 hrs and 35 mins
Prince of Poison,Alice Winters,Length: 9 hrs and 49 mins
Passions in Death: An Eve Dallas Novel,J. D. Robb,Length: 13 hrs and 54 mins
Tsalmoth,Steven Brust,Length: 9 hrs and 49 mins
Eruption,"Michael Crichton,James Patterson",Length: 10 hrs and 32 mins
The Dream Dancers: Akashic Chronicles,Steven P Aitchison,Length: 3 hrs and 40 mins
All the Colors of the Dark,Chris Whitaker,Length: 14 hrs and 37 mins
The Chronicles of Narnia Complete Audio Collection,C. S. Lewis,Length: 33 hrs and 45 mins
A Court of Frost and Starlight,Sarah J. Maas,Length: 6 hrs and 23 mins
He Who Fights with Monsters 11: A LitRPG Adventure,"Shirtaloon,Travis Deverell",Length: 26 hrs and 19 mins
A Lesbian's Guide to Women,Erica Lee,Length: 7 hrs and 40 mins
Under the Breaking Sky: The Complete Apocalyptic Horror Series,Nick Clausen,Length: 59 hrs and 36 mins
Defiance of the Fall 13,"TheFirstDefier,JF Brink",Length: 24 hrs and 35 mins
Prince of Poison,Alice Winters,Length: 9 hrs and 49 mins
Passions in Death: An Eve Dallas Novel,J. D. Robb,Length: 13 hrs and 54 mins
Tsalmoth,Steven Brust,Length: 9 hrs and 49 mins
The Way of Kings,Brandon Sanderson,Length: 45 hrs and 30 mins
Magic Rises (Dramatized Adaptation),Ilona Andrews,Length: 11 hrs
"Harry Potter and the Prisoner of Azkaban, Book 3",J.K. Rowling,Length: 11 hrs and 49 mins
A Court of Mist and Fury,Sarah J. Maas,Length: 23 hrs and 16 mins
A Court of Wings and Ruin,Sarah J. Maas,Length: 25 hrs and 9 mins
Hostile Takeover,Franklin Horton,Length: 8 hrs and 41 mins
Oathbringer,Brandon Sanderson,Length: 55 hrs and 5 mins
Red Sky Mourning,Jack Carr,Length: 15 hrs and 28 mins
Loud,Drew Afualo,Length: 6 hrs and 33 mins
Words of Radiance,Brandon Sanderson,Length: 48 hrs and 13 mins
The Body Keeps the Score,Bessel A. van der Kolk,Length: 16 hrs and 15 mins
The Ragpicker King,Cassandra Clare,Length: 23 hrs
House of Sky and Breath,Sarah J. Maas,Length: 27 hrs and 42 mins
A Trial of Innocents,Michael Swiger,Length: 7 hrs and 6 mins
Unreasonable Hospitality,Will Guidara,Length: 8 hrs and 37 mins
The Psychology of Money,Morgan Housel,Length: 5 hrs and 55 mins
Rhythm of War,Brandon Sanderson,Length: 57 hrs and 26 mins
Mad Love,Willow Aster,Length: 7 hrs and 53 mins
Wildest Dreams,Kristen Proby,Length: 9 hrs and 13 mins
Skaventide,Gary Kloster,Length: 15 hrs and 1 min
Last Day of the Immortal,Kirill Klevanski,Length: 16 hrs and 6 mins
"Harry Potter and the Chamber of Secrets, Book 2",J.K. Rowling,Length: 9 hrs and 2 mins
Arkangel,James Rollins,Length: 16 hrs and 46 mins
The Next Mrs. Parrish,Liv Constantine,Length: 10 hrs and 51 mins
Reign of a Billionaire,Eva Winners,Length: 12 hrs and 5 mins
Heir of Fire,Sarah J. Maas,Length: 17 hrs and 56 mins
It Starts with Us,Colleen Hoover,Length: 8 hrs and 41 mins
The Hero of Ages,Brandon Sanderson,Length: 27 hrs and 25 mins
"The Beginner’s Guide to Gut Health: Unlocking Digestive Freedom, Weight Wellness, and Mental Clarity Made Easy",Christina Kiser,Length: 3 hrs and 26 mins
The Forbidden,Sawyer Bennett,Length: 7 hrs and 41 mins
Sasha Urban: The Complete Series,"Dima Zales,Anna Zaires",Length: 60 hrs and 39 mins
How to: $10M,William Brown,Length: 7 hrs and 23 mins
The Woman in Me,Britney Spears,Length: 5 hrs and 31 mins
Children of Dune,Frank Herbert,Length: 16 hrs and 51 mins
This Is Why We Lied,Karin Slaughter,Length: 18 hrs and 6 mins
Empire of Storms,Sarah J. Maas,Length: 25 hrs and 18 mins
Stateside,JD Kirk,Length: 12 hrs and 9 mins
"Harry Potter and the Deathly Hallows, Book 7",J.K. Rowling,Length: 21 hrs and 36 mins
Rift in the Soul,Faith Hunter,Length: 15 hrs and 21 mins
"The Marriage Auction 2, Book Four",Audrey Carlan,Length: 9 hrs and 55 mins
Haunting Adeline,H. D. Carlton,Length: 15 hrs and 49 mins
The Dungeon Anarchist's Cookbook,Matt Dinniman,Length: 16 hrs and 54 mins
An Island Princess Starts a Scandal,Adriana Herrera,Length: 12 hrs and 40 mins
The Housemaid Is Watching,Freida McFadden,Length: 11 hrs and 42 mins
Throne of Glass,Sarah J. Maas,Length: 13 hrs and 3 mins
True Believer,Jack Carr,Length: 15 hrs and 44 mins
Swan Song,Elin Hilderbrand,Length: 13 hrs and 39 mins
House of Earth and Blood,Sarah J. Maas,Length: 27 hrs and 50 mins
Dragon Warrior,KrazeKode,Length: 10 hrs and 39 mins
The Final Empire,Brandon Sanderson,Length: 24 hrs and 39 mins
A Court of Silver Flames,Sarah J. Maas,Length: 26 hrs and 5 mins
Dragons of Eternity,"Margaret Weis,Tracy Hickman",Length: 12 hrs and 56 mins
A Game of Thrones,George R.R. Martin,Length: 33 hrs and 46 mins
"Harry Potter and the Goblet of Fire, Book 4",J.K. Rowling,Length: 20 hrs and 36 mins
Obsession,Jane Henry,Length: 10 hrs and 22 mins
Siege of Vraks,Steve Lyons,Length: 9 hrs and 48 mins
Master of Puppets,Eric Ugland,Length: 13 hrs and 15 mins
Secrets and Strife: An Isekai LitRPG,SourpatchHero,Length: 16 hrs and 53 mins
The Housemaid,Freida McFadden,Length: 9 hrs and 46 mins
The Three-Body Problem,Cixin Liu,Length: 13 hrs and 26 mins
Tower of Dawn,Sarah J. Maas,Length: 22 hrs and 39 mins
Diving Into Her,Alyson Root,Length: 8 hrs and 57 mins
"Harry Potter and the Sorcerer's Stone, Book 1",J.K. Rowling,Length: 8 hrs and 18 mins
Queen of Shadows,Sarah J. Maas,Length: 20 hrs and 43 mins
Kingdom of Ash,Sarah J. Maas,Length: 33 hrs and 11 mins
