title,author,length
43. The Last Mrs. Parrish,By: Liv Constantine,Length: 12 hrs
44. Jurassic Park,By: Michael Crichton,Length: 15 hrs and 10 mins
45. The Psychology of Money,By: Morgan Housel,Length: 5 hrs and 55 mins
46. Red Sky Mourning,By: Jack Carr,Length: 15 hrs and 28 mins
47. Queen of Shadows,By: Sarah J. Maas,Length: 20 hrs and 43 mins
48. The Mountain Is You,By: Brianna Wiest,Length: 5 hrs and 44 mins
49. House of Flame and Shadow,By: Sarah J. Maas,Length: 29 hrs and 42 mins
50. The Subtle Art of Not Giving a F*ck,By: Mark Manson,Length: 5 hrs and 17 mins
51. Empire of Storms,By: Sarah J. Maas,Length: 25 hrs and 18 mins
52. Can't Hurt Me,By: David Goggins,Length: 13 hrs and 37 mins
53. House of Earth and Blood,By: Sarah J. Maas,Length: 27 hrs and 50 mins
54. Nuclear War,By: Annie Jacobsen,Length: 11 hrs and 19 mins
55. Greenlights,By: Matthew McConaughey,Length: 6 hrs and 42 mins
56. The Five Love Languages: The Secret to Love That Lasts,By: Gary Chapman,Length: 4 hrs and 46 mins
57. Outlive,"By: Peter Attia MD, Bill Gifford - contributor",Length: 17 hrs and 7 mins
58. Children of Time,By: Adrian Tchaikovsky,Length: 16 hrs and 31 mins
59. Tower of Dawn,By: Sarah J. Maas,Length: 22 hrs and 39 mins
60. For We Are Many,By: Dennis E. Taylor,Length: 8 hrs and 59 mins
