title,author,length
82. Demon Copperhead,By: Barbara Kingsolver,Length: 21 hrs and 3 mins
83. How to Win Friends & Influence People,By: Dale Carnegie,Length: 7 hrs and 15 mins
84. All These Worlds,By: Dennis E. Taylor,Length: 7 hrs and 56 mins
85. The 1619 Project,"By: Nikole Hannah-Jones, The New York Times Magazine, Caitlin Roper - editor, Ilena Silverman - editor, Jake Silverstein - editor",Length: 18 hrs and 57 mins
86. The Next Mrs. Parrish,By: Liv Constantine,Length: 10 hrs and 51 mins
87. James,By: Percival Everett,Length: 7 hrs and 49 mins
88. Heaven's River,By: Dennis E. Taylor,Length: 16 hrs and 57 mins
"89. Detective Sebastian Clifford, Books 1-3",By: Sally Rigby,Length: 22 hrs and 17 mins
90. A Calamity of Souls,By: David Baldacci,Length: 14 hrs and 28 mins
91. Fire & Blood (HBO Tie-in Edition),By: George R. R. Martin,Length: 26 hrs and 24 mins
92. Don't Believe Everything You Think,By: Joseph Nguyen,Length: 2 hrs and 16 mins
93. West with Giraffes,By: Lynda Rutledge,Length: 10 hrs and 28 mins
94. House of Sky and Breath,By: Sarah J. Maas,Length: 27 hrs and 42 mins
95. Ego Is the Enemy,By: Ryan Holiday,Length: 6 hrs and 56 mins
96. Chaos,"By: Tom O'Neill, Dan Piepenbring",Length: 16 hrs and 15 mins
97. The Way of Kings,By: Brandon Sanderson,Length: 45 hrs and 30 mins
98. Unhumans,"By: Jack Posobiec, Joshua Lisec",Length: 10 hrs and 1 min
99. 12 Rules for Life,"By: Jordan B. Peterson, Norman Doidge MD",Length: 15 hrs and 40 mins
